q,net_apr,funding_apr,staking_apr,borrow_apr
2022Q1,7.426966226888888,3.9080773379999996,3.6000000000000005,-0.0
2022Q2,4.525515590549451,0.8255155905494506,3.780219780219781,-0.0
2022Q3,0.26455537999999945,-3.7604446200000003,4.104347826086956,-0.0
2022Q4,6.993875371739129,1.7069188500000003,5.3663043478260875,-0.0
2023Q1,12.494087457555555,7.528531902,5.046666666666666,-0.0
2023Q2,9.166187723956046,4.505748163516484,4.74065934065934,-0.0
2023Q3,7.400395984565218,3.6471351150000006,3.8326086956521723,-0.0
2023Q4,15.15730430326087,11.569260825,3.667391304347825,-0.0
2024Q1,21.6755879198022,18.30684066705495,3.448967032967033,-0.0
2024Q2,18.017299587318682,15.076790356549452,3.0207290109890113,-0.0
2024Q3,12.061463397739132,9.352176875999998,2.788634347826087,-0.0
2024Q4,20.97756403784783,17.8619677335,3.1949441304347834,-0.0
2025Q1,23.835339909200002,20.480701909200004,3.435749111111111,-0.0
2025Q2,6.828346797472529,3.676933061208792,3.231633516483516,-0.0
2025Q3,4.886227975652173,2.132976780000001,2.8325990217391306,-0.0
2025Q4,12.994755728043481,10.317721815000002,2.7563817391304353,-0.0
2026Q1,6.998102249888889,4.611808361,2.467405,-0.0
2026Q2,6.736681422395605,4.367752850967033,2.449148351648352,-0.0
2026Q3,9.981732987152542,7.6824892583389826,2.422972542372882,-0.0
