q,net_apr,funding_apr,staking_apr,borrow_apr
2022Q1,12.253587487723555,9.995842332168001,8.471232,-5.736326400000001
2022Q2,3.265660913347692,2.1114535287323077,8.895310769230774,-7.269186461538463
2022Q3,-5.248001830667827,-9.618236352406958,9.658022956521737,-4.821001043478262
2022Q4,12.099096806888003,4.36585313512174,12.627558086956522,-4.427527023885914
2023Q1,26.191260906950227,19.256020640472,11.875412266666666,-4.463011555744
2023Q2,16.627959704694156,11.524528389710772,11.15534030769231,-5.5799920696320005
2023Q3,7.805824096709739,9.328420197618263,9.01858817391304,-10.07439688351722
2023Q4,25.31449029079113,29.832713597308697,8.629811826086959,-12.681247741300178
2024Q1,37.96771394318892,48.41117566011693,8.115833304615384,-18.087378098466463
2024Q2,12.790576248861537,21.747392870178466,7.460243729230771,-15.94514342747077
2024Q3,6.758000160428694,10.175123979555654,7.230472747826087,-10.180809175648696
2024Q4,18.775202967061738,29.63126309641827,7.021045067826086,-17.410317805878268
2025Q1,6.150116624143644,10.77012199648,7.194324504888888,-11.337169432780803
2025Q2,7.620160582813538,9.136111537993848,6.755652369230769,-7.799686401334155
2025Q3,9.28028515176487,12.780041286052176,6.318178354782609,-9.351147097765566
2025Q4,6.4439545003083465,9.059113747228697,6.243236598260869,-8.39160845387687
2026Q1,-0.8837944466723563,0.08458336902399986,5.818925864888889,-6.3101432361408
2026Q2,-1.7127450056246167,1.7226685469907692,5.779366153846154,-8.742862783384616
2026Q3,7.184782691767093,10.265787444010076,5.205699690847459,-7.5588325786836625
